"","subject","workerid","round","permutation","fillerDimension","leftLabel","ip","learn.success","num.learn.trials","condition"
"61",61,"A16NAK9LY0HRJS","05","1.3.2.0","meaningful","B","204.8.197.35",1,63,"ms"
"62",62,"A202FBLB25LZC8","05","0.3.2.1","meaningful","A","98.19.140.105",0,144,"ms"
"63",63,"A3L1KOIOS6TZ6D","05","3.2.1.0","meaningful","B",NA,0,144,"ms"
"64",64,"A7NUF96Y2HMUQ","05","0.1.3.2","meaningful","B","68.33.34.181",0,144,"ms"
"65",65,"A1VPNOI9JIDBW6","05","0.1.3.2","meaningful","A","136.167.244.125",1,54,"ms"
"66",66,"A10P6JHJ52BLZL","05","3.1.0.2","meaningful","A","50.122.96.205",1,54,"ms"
"67",67,"AS2Q4GU25G87R","05","3.0.1.2","meaningful","A","73.50.138.19",0,144,"ms"
"68",68,"A1BFLMCFOAYEVI","05","3.1.2.0","meaningful","B","67.185.219.70",1,135,"ms"
"69",69,"A1VSHM4NLZ705D","05","0.2.3.1","meaningful","B","76.236.14.160",0,144,"ms"
"70",70,"A2WFIKGB7KZM7S","05","3.1.0.2","meaningful","A",NA,0,144,"ms"
"71",71,"A1IFIK8J49WBER","05","3.0.1.2","meaningful","A","69.66.162.73",0,144,"ms"
"72",72,"AJD5HSZS50NBC","05","1.0.2.3","meaningful","B",NA,1,135,"ms"
"73",73,"AEK67RC8DN148","05","2.3.1.0","meaningful","A","24.110.60.127",1,54,"ms"
"74",74,"A31K0IKVDH4INE","05","3.1.2.0","meaningful","B","64.18.109.177",1,135,"ms"
"75",75,"A2SZCDGB0PRWCF","05","2.3.0.1","meaningful","A","75.143.89.221",0,144,"ms"
"76",76,"A3135Y3RMFC3PK","05","1.2.0.3","meaningful","A","70.197.162.57",1,90,"ms"
"77",77,"A25ZFH3PBOTIIW","05","1.0.3.2","meaningful","B","71.60.33.226",1,36,"ms"
"78",78,"A1GMZG77RTZXNE","05","3.1.0.2","meaningful","A","74.112.114.145",1,99,"ms"
"79",79,"ALZAEFAGR5MFE","05","0.3.1.2","meaningful","B","50.126.249.6",1,126,"ms"
"80",80,"A36U45O347RUGC","05","2.1.0.3","meaningful","A","98.229.140.98",1,54,"ms"
"81",81,"A2NFP896EIMR64","05","0.2.1.3","meaningful","B","70.138.189.131",0,144,"ms"
"82",82,"A25RPXNQ8D2SWZ","05","3.1.2.0","meaningful","A","64.158.197.100",1,99,"ms"
"83",83,"A1UQGN9IS05CAF","05","2.1.3.0","meaningful","B","71.203.169.199",0,144,"ms"
"84",84,"A3DIRN48SZVNRE","05","2.1.3.0","meaningful","A","162.243.171.79",1,45,"ms"
"85",85,"AL4THZQ97441","05","2.0.3.1","meaningful","B","68.42.214.77",0,144,"ms"
"86",86,"A2BLYWMF0160SV","05","0.3.2.1","meaningful","A","50.73.27.253",0,144,"ms"
