"","timeStart","memory","memoryCorrect","category","categoryCorrect","rt","stim.old","x","y","z","w","trial.num","stim","subject","condition","round"
"961",1415023980362,"old",FALSE,"A",NA,3115,FALSE,0,0,1,0,1,"0010",61,"ms","05"
"962",1415023984233,"old",TRUE,"B",TRUE,2416,TRUE,0,0,0,1,2,"0001",61,"ms","05"
"963",1415023987407,"old",TRUE,"A",TRUE,2210,TRUE,1,0,1,0,3,"1010",61,"ms","05"
"964",1415023990376,"old",FALSE,"B",NA,1913,FALSE,1,0,0,0,4,"1000",61,"ms","05"
"965",1415023993040,"old",FALSE,"A",NA,2029,FALSE,1,0,0,1,5,"1001",61,"ms","05"
"966",1415023995830,"old",FALSE,"B",NA,3079,FALSE,0,1,0,0,6,"0100",61,"ms","05"
"967",1415023999674,"new",FALSE,"B",TRUE,2791,TRUE,1,1,0,0,7,"1100",61,"ms","05"
"968",1415024003221,"old",FALSE,"A",NA,2064,FALSE,0,0,1,1,8,"0011",61,"ms","05"
"969",1415024006050,"old",TRUE,"A",TRUE,6743,TRUE,1,1,1,0,9,"1110",61,"ms","05"
"970",1415024013551,"old",TRUE,"A",TRUE,2766,TRUE,0,1,1,1,10,"0111",61,"ms","05"
"971",1415024017068,"new",TRUE,"A",NA,3193,FALSE,1,1,1,1,11,"1111",61,"ms","05"
"972",1415024021021,"old",TRUE,"B",FALSE,2268,TRUE,1,1,0,1,12,"1101",61,"ms","05"
"973",1415024024053,"old",TRUE,"A",TRUE,3688,TRUE,1,0,1,1,13,"1011",61,"ms","05"
"974",1415024028492,"old",TRUE,"B",TRUE,4929,TRUE,0,1,1,0,14,"0110",61,"ms","05"
"975",1415024034183,"old",FALSE,"B",NA,2770,FALSE,0,1,0,1,15,"0101",61,"ms","05"
"976",1415024037711,"old",TRUE,"B",TRUE,2841,TRUE,0,0,0,0,16,"0000",61,"ms","05"
"977",1415024150600,"old",TRUE,"A",TRUE,4116,TRUE,1,1,1,0,1,"1110",62,"ms","05"
"978",1415024155468,"old",TRUE,"B",TRUE,2121,TRUE,0,0,0,0,2,"0000",62,"ms","05"
"979",1415024158340,"old",TRUE,"A",TRUE,2190,TRUE,1,1,0,1,3,"1101",62,"ms","05"
"980",1415024161281,"old",FALSE,"B",NA,2006,FALSE,0,1,0,1,4,"0101",62,"ms","05"
"981",1415024164040,"old",FALSE,"B",NA,1849,FALSE,0,0,1,0,5,"0010",62,"ms","05"
"982",1415024166641,"old",FALSE,"A",NA,1604,FALSE,1,1,1,1,6,"1111",62,"ms","05"
"983",1415024168996,"old",FALSE,"A",NA,1507,FALSE,0,0,1,1,7,"0011",62,"ms","05"
