"","category","rt","categoryCorrect","timeStart","memory","memoryCorrect","stim.old","x","y","z","w","trial.num","stim","workerId","condition","round"
"1","B",19638,NA,1415296228992,"old",FALSE,FALSE,0,0,1,0,1,"0010","A93KYHGAVEIYL","opt-total","07"
"2","B",35871,NA,1415296249388,"new",TRUE,FALSE,1,1,0,1,2,"1101","A93KYHGAVEIYL","opt-total","07"
"3","B",7173,TRUE,1415296286035,"old",TRUE,TRUE,1,0,0,0,3,"1000","A93KYHGAVEIYL","opt-total","07"
"4","B",7499,NA,1415296293968,"old",FALSE,FALSE,0,0,0,0,4,"0000","A93KYHGAVEIYL","opt-total","07"
"5","A",5344,NA,1415296302224,"old",FALSE,FALSE,0,1,0,1,5,"0101","A93KYHGAVEIYL","opt-total","07"
"6","A",17302,TRUE,1415296308337,"old",TRUE,TRUE,1,1,0,0,6,"1100","A93KYHGAVEIYL","opt-total","07"
"7","B",4655,TRUE,1415296326400,"old",TRUE,TRUE,0,1,0,0,7,"0100","A93KYHGAVEIYL","opt-total","07"
"8","B",5240,TRUE,1415296331813,"old",TRUE,TRUE,1,0,1,0,8,"1010","A93KYHGAVEIYL","opt-total","07"
"9","A",7934,TRUE,1415296337809,"old",TRUE,TRUE,1,1,1,0,9,"1110","A93KYHGAVEIYL","opt-total","07"
"10","B",33108,NA,1415296346496,"new",TRUE,FALSE,1,0,0,1,10,"1001","A93KYHGAVEIYL","opt-total","07"
"11","B",13284,NA,1415296380360,"new",TRUE,FALSE,0,1,1,1,11,"0111","A93KYHGAVEIYL","opt-total","07"
"12","A",3632,TRUE,1415296394403,"old",TRUE,TRUE,0,0,1,1,12,"0011","A93KYHGAVEIYL","opt-total","07"
"13","A",15861,NA,1415296398796,"new",TRUE,FALSE,1,0,1,1,13,"1011","A93KYHGAVEIYL","opt-total","07"
"14","B",5428,TRUE,1415296415415,"old",TRUE,TRUE,0,1,1,0,14,"0110","A93KYHGAVEIYL","opt-total","07"
"15","A",4039,TRUE,1415296421619,"old",TRUE,TRUE,0,0,0,1,15,"0001","A93KYHGAVEIYL","opt-total","07"
"16","A",9811,TRUE,1415296426414,"old",TRUE,TRUE,1,1,1,1,16,"1111","A93KYHGAVEIYL","opt-total","07"
"17","A",5868,TRUE,1415206695951,"old",TRUE,TRUE,1,1,0,0,1,"1100","A3A9QMKV2U1P76","opt-total","07"
"18","B",3173,FALSE,1415206702571,"old",TRUE,TRUE,0,0,0,1,2,"0001","A3A9QMKV2U1P76","opt-total","07"
"19","A",4308,NA,1415206706496,"old",FALSE,FALSE,1,0,0,1,3,"1001","A3A9QMKV2U1P76","opt-total","07"
"20","A",6096,NA,1415206711555,"old",FALSE,FALSE,0,0,0,0,4,"0000","A3A9QMKV2U1P76","opt-total","07"
"21","B",6188,NA,1415206718402,"new",TRUE,FALSE,0,1,0,1,5,"0101","A3A9QMKV2U1P76","opt-total","07"
"22","A",3936,TRUE,1415206725343,"old",TRUE,TRUE,1,1,1,0,6,"1110","A3A9QMKV2U1P76","opt-total","07"
"23","A",5264,FALSE,1415206730030,"new",FALSE,TRUE,0,1,1,0,7,"0110","A3A9QMKV2U1P76","opt-total","07"
"24","A",3230,NA,1415206736045,"old",FALSE,FALSE,1,0,1,1,8,"1011","A3A9QMKV2U1P76","opt-total","07"
"25","B",2892,TRUE,1415206740026,"old",TRUE,TRUE,0,1,0,0,9,"0100","A3A9QMKV2U1P76","opt-total","07"
"26","B",3398,TRUE,1415206743670,"old",TRUE,TRUE,1,0,0,0,10,"1000","A3A9QMKV2U1P76","opt-total","07"
"27","A",2678,TRUE,1415206747819,"old",TRUE,TRUE,1,1,1,1,11,"1111","A3A9QMKV2U1P76","opt-total","07"
"28","B",5985,NA,1415206751248,"old",FALSE,FALSE,0,0,1,0,12,"0010","A3A9QMKV2U1P76","opt-total","07"
"29","A",6052,NA,1415206757984,"new",TRUE,FALSE,0,1,1,1,13,"0111","A3A9QMKV2U1P76","opt-total","07"
"30","B",3229,TRUE,1415206764787,"old",TRUE,TRUE,1,0,1,0,14,"1010","A3A9QMKV2U1P76","opt-total","07"
"31","A",5153,TRUE,1415206768767,"old",TRUE,TRUE,0,0,1,1,15,"0011","A3A9QMKV2U1P76","opt-total","07"
"32","A",5313,NA,1415206774670,"new",TRUE,FALSE,1,1,0,1,16,"1101","A3A9QMKV2U1P76","opt-total","07"
"33","A",9061,FALSE,1415203594337,"old",TRUE,TRUE,1,0,1,0,1,"1010","A30OOETQPWFPHK","opt-total","07"
"34","B",3086,TRUE,1415203604159,"old",TRUE,TRUE,0,1,1,0,2,"0110","A30OOETQPWFPHK","opt-total","07"
"35","A",3273,NA,1415203607996,"old",FALSE,FALSE,1,0,1,1,3,"1011","A30OOETQPWFPHK","opt-total","07"
"36","A",3568,NA,1415203612021,"old",FALSE,FALSE,1,0,0,1,4,"1001","A30OOETQPWFPHK","opt-total","07"
"37","A",4122,NA,1415203616342,"old",FALSE,FALSE,0,1,1,1,5,"0111","A30OOETQPWFPHK","opt-total","07"
"38","A",3421,TRUE,1415203621224,"old",TRUE,TRUE,1,1,1,1,6,"1111","A30OOETQPWFPHK","opt-total","07"
"39","B",3295,TRUE,1415203625406,"old",TRUE,TRUE,1,0,0,0,7,"1000","A30OOETQPWFPHK","opt-total","07"
"40","B",2359,TRUE,1415203629462,"old",TRUE,TRUE,0,1,0,0,8,"0100","A30OOETQPWFPHK","opt-total","07"
"41","A",2264,TRUE,1415203632581,"old",TRUE,TRUE,0,0,0,1,9,"0001","A30OOETQPWFPHK","opt-total","07"
"42","A",6629,NA,1415203635608,"old",FALSE,FALSE,1,1,0,1,10,"1101","A30OOETQPWFPHK","opt-total","07"
"43","B",3796,FALSE,1415203643002,"old",TRUE,TRUE,1,1,0,0,11,"1100","A30OOETQPWFPHK","opt-total","07"
"44","B",2856,NA,1415203647557,"old",FALSE,FALSE,0,0,0,0,12,"0000","A30OOETQPWFPHK","opt-total","07"
"45","A",5788,NA,1415203651176,"new",TRUE,FALSE,0,1,0,1,13,"0101","A30OOETQPWFPHK","opt-total","07"
"46","A",2340,TRUE,1415203657728,"old",TRUE,TRUE,0,0,1,1,14,"0011","A30OOETQPWFPHK","opt-total","07"
"47","B",4827,NA,1415203660833,"old",FALSE,FALSE,0,0,1,0,15,"0010","A30OOETQPWFPHK","opt-total","07"
"48","A",4299,TRUE,1415203666417,"old",TRUE,TRUE,1,1,1,0,16,"1110","A30OOETQPWFPHK","opt-total","07"
"49","B",8421,NA,1415296321674,"new",TRUE,FALSE,0,0,1,0,1,"0010","A2YR2UHL8622D","opt-total","07"
"50","A",2343,TRUE,1415296330846,"old",TRUE,TRUE,0,0,1,1,2,"0011","A2YR2UHL8622D","opt-total","07"
"51","A",3060,TRUE,1415296333941,"old",TRUE,TRUE,0,0,0,1,3,"0001","A2YR2UHL8622D","opt-total","07"
"52","B",2883,FALSE,1415296337752,"old",TRUE,TRUE,1,1,1,0,4,"1110","A2YR2UHL8622D","opt-total","07"
"53","B",2985,TRUE,1415296341386,"old",TRUE,TRUE,1,0,1,0,5,"1010","A2YR2UHL8622D","opt-total","07"
"54","A",2744,NA,1415296345123,"old",FALSE,FALSE,1,1,0,1,6,"1101","A2YR2UHL8622D","opt-total","07"
"55","A",2519,NA,1415296348618,"old",FALSE,FALSE,1,0,1,1,7,"1011","A2YR2UHL8622D","opt-total","07"
"56","A",2296,NA,1415296351889,"old",FALSE,FALSE,0,1,0,1,8,"0101","A2YR2UHL8622D","opt-total","07"
"57","A",3078,NA,1415296354935,"old",FALSE,FALSE,0,1,1,1,9,"0111","A2YR2UHL8622D","opt-total","07"
"58","B",2203,NA,1415296358764,"old",FALSE,FALSE,1,0,0,1,10,"1001","A2YR2UHL8622D","opt-total","07"
"59","B",2698,TRUE,1415296361719,"old",TRUE,TRUE,0,1,1,0,11,"0110","A2YR2UHL8622D","opt-total","07"
"60","B",2311,TRUE,1415296365168,"old",TRUE,TRUE,1,0,0,0,12,"1000","A2YR2UHL8622D","opt-total","07"
"61","A",2489,FALSE,1415296368230,"old",TRUE,TRUE,0,1,0,0,13,"0100","A2YR2UHL8622D","opt-total","07"
"62","B",5118,FALSE,1415296371471,"new",FALSE,TRUE,1,1,0,0,14,"1100","A2YR2UHL8622D","opt-total","07"
"63","B",3478,NA,1415296377341,"new",TRUE,FALSE,0,0,0,0,15,"0000","A2YR2UHL8622D","opt-total","07"
"64","A",1956,TRUE,1415296381571,"old",TRUE,TRUE,1,1,1,1,16,"1111","A2YR2UHL8622D","opt-total","07"
"65","A",5973,NA,1415207322821,"old",FALSE,FALSE,0,0,0,0,1,"0000","A2UA7LY48WTQHD","opt-total","07"
"66","A",4029,NA,1415207329549,"old",FALSE,FALSE,0,1,1,1,2,"0111","A2UA7LY48WTQHD","opt-total","07"
"67","B",3326,TRUE,1415207334332,"old",TRUE,TRUE,0,1,1,0,3,"0110","A2UA7LY48WTQHD","opt-total","07"
"68","B",2007,TRUE,1415207338412,"old",TRUE,TRUE,0,1,0,0,4,"0100","A2UA7LY48WTQHD","opt-total","07"
"69","B",1933,NA,1415207341173,"old",FALSE,FALSE,1,0,0,1,5,"1001","A2UA7LY48WTQHD","opt-total","07"
"70","B",3478,NA,1415207343860,"old",FALSE,FALSE,0,1,0,1,6,"0101","A2UA7LY48WTQHD","opt-total","07"
"71","B",1893,FALSE,1415207348092,"old",TRUE,TRUE,1,1,1,1,7,"1111","A2UA7LY48WTQHD","opt-total","07"
"72","A",3273,NA,1415207350738,"old",FALSE,FALSE,0,0,1,0,8,"0010","A2UA7LY48WTQHD","opt-total","07"
"73","B",2573,NA,1415207354765,"old",FALSE,FALSE,1,1,0,1,9,"1101","A2UA7LY48WTQHD","opt-total","07"
"74","B",2174,FALSE,1415207358092,"old",TRUE,TRUE,1,1,0,0,10,"1100","A2UA7LY48WTQHD","opt-total","07"
"75","B",2087,TRUE,1415207361020,"old",TRUE,TRUE,1,0,0,0,11,"1000","A2UA7LY48WTQHD","opt-total","07"
"76","A",5213,NA,1415207363861,"old",FALSE,FALSE,1,0,1,1,12,"1011","A2UA7LY48WTQHD","opt-total","07"
"77","B",2824,FALSE,1415207369827,"old",TRUE,TRUE,0,0,1,1,13,"0011","A2UA7LY48WTQHD","opt-total","07"
"78","B",2165,FALSE,1415207373405,"old",TRUE,TRUE,1,1,1,0,14,"1110","A2UA7LY48WTQHD","opt-total","07"
"79","B",1662,TRUE,1415207376324,"old",TRUE,TRUE,1,0,1,0,15,"1010","A2UA7LY48WTQHD","opt-total","07"
"80","B",2910,FALSE,1415207378740,"old",TRUE,TRUE,0,0,0,1,16,"0001","A2UA7LY48WTQHD","opt-total","07"
"81","A",7995,NA,1415296185661,"old",FALSE,FALSE,0,0,1,1,1,"0011","A36T25VUSZLIFO","ms","07"
"82","B",4249,NA,1415296194412,"old",FALSE,FALSE,0,1,0,0,2,"0100","A36T25VUSZLIFO","ms","07"
"83","A",4613,TRUE,1415296199417,"old",TRUE,TRUE,0,1,1,1,3,"0111","A36T25VUSZLIFO","ms","07"
"84","A",2908,TRUE,1415296204787,"old",TRUE,TRUE,1,0,1,0,4,"1010","A36T25VUSZLIFO","ms","07"
"85","B",3815,NA,1415296208452,"old",FALSE,FALSE,1,0,0,1,5,"1001","A36T25VUSZLIFO","ms","07"
"86","A",3555,NA,1415296213025,"old",FALSE,FALSE,0,1,0,1,6,"0101","A36T25VUSZLIFO","ms","07"
"87","B",3788,TRUE,1415296217337,"old",TRUE,TRUE,0,0,0,1,7,"0001","A36T25VUSZLIFO","ms","07"
"88","A",2850,NA,1415296221879,"old",FALSE,FALSE,1,1,1,1,8,"1111","A36T25VUSZLIFO","ms","07"
"89","A",2524,TRUE,1415296225483,"old",TRUE,TRUE,1,0,1,1,9,"1011","A36T25VUSZLIFO","ms","07"
"90","B",2560,NA,1415296228763,"old",FALSE,FALSE,1,0,0,0,10,"1000","A36T25VUSZLIFO","ms","07"
"91","B",4271,TRUE,1415296232077,"old",TRUE,TRUE,0,0,0,0,11,"0000","A36T25VUSZLIFO","ms","07"
"92","A",2198,FALSE,1415296237101,"old",TRUE,TRUE,1,1,0,0,12,"1100","A36T25VUSZLIFO","ms","07"
"93","B",8960,NA,1415296240057,"old",FALSE,FALSE,0,0,1,0,13,"0010","A36T25VUSZLIFO","ms","07"
"94","A",3382,FALSE,1415296249774,"old",TRUE,TRUE,0,1,1,0,14,"0110","A36T25VUSZLIFO","ms","07"
"95","A",2582,TRUE,1415296253914,"old",TRUE,TRUE,1,1,0,1,15,"1101","A36T25VUSZLIFO","ms","07"
"96","A",3494,TRUE,1415296257251,"old",TRUE,TRUE,1,1,1,0,16,"1110","A36T25VUSZLIFO","ms","07"
"97","B",3023,TRUE,1415203617678,"old",TRUE,TRUE,1,0,0,0,1,"1000","A2JTERL2XDB6WB","opt-total","07"
"98","A",1983,NA,1415203621454,"old",FALSE,FALSE,0,1,1,1,2,"0111","A2JTERL2XDB6WB","opt-total","07"
"99","A",1276,TRUE,1415203624201,"old",TRUE,TRUE,0,0,1,1,3,"0011","A2JTERL2XDB6WB","opt-total","07"
"100","A",1578,NA,1415203626235,"old",FALSE,FALSE,1,0,0,1,4,"1001","A2JTERL2XDB6WB","opt-total","07"
"101","A",1338,TRUE,1415203628579,"old",TRUE,TRUE,0,0,0,1,5,"0001","A2JTERL2XDB6WB","opt-total","07"
"102","B",1923,TRUE,1415203630674,"old",TRUE,TRUE,1,0,1,0,6,"1010","A2JTERL2XDB6WB","opt-total","07"
"103","A",1652,NA,1415203633353,"old",FALSE,FALSE,1,0,1,1,7,"1011","A2JTERL2XDB6WB","opt-total","07"
"104","A",2546,TRUE,1415203635771,"old",TRUE,TRUE,1,1,1,0,8,"1110","A2JTERL2XDB6WB","opt-total","07"
"105","A",2319,NA,1415203639070,"old",FALSE,FALSE,0,1,0,1,9,"0101","A2JTERL2XDB6WB","opt-total","07"
"106","B",2313,TRUE,1415203642140,"old",TRUE,TRUE,0,1,0,0,10,"0100","A2JTERL2XDB6WB","opt-total","07"
"107","A",1455,NA,1415203645215,"old",FALSE,FALSE,1,1,0,1,11,"1101","A2JTERL2XDB6WB","opt-total","07"
"108","A",4235,TRUE,1415203647434,"old",TRUE,TRUE,1,1,1,1,12,"1111","A2JTERL2XDB6WB","opt-total","07"
"109","B",1914,NA,1415203652435,"old",FALSE,FALSE,0,0,0,0,13,"0000","A2JTERL2XDB6WB","opt-total","07"
"110","B",1304,TRUE,1415203655109,"old",TRUE,TRUE,0,1,1,0,14,"0110","A2JTERL2XDB6WB","opt-total","07"
"111","B",1242,NA,1415203657171,"old",FALSE,FALSE,0,0,1,0,15,"0010","A2JTERL2XDB6WB","opt-total","07"
"112","A",2970,TRUE,1415203659171,"old",TRUE,TRUE,1,1,0,0,16,"1100","A2JTERL2XDB6WB","opt-total","07"
"113","B",13650,NA,1415216305498,"old",FALSE,FALSE,0,0,1,0,1,"0010","A1I7NW0062RB0X","ms","07"
