"","timeStart","memory","memoryCorrect","category","categoryCorrect","rt","stim.old","x","y","z","w","trial.num","stim","subject","condition","round"
"1",1414712391244,"old",TRUE,"A",TRUE,3075,TRUE,1,1,0,0,1,"1100",1,"opt-total","05"
"2",1414712395070,"old",FALSE,"A",NA,4201,FALSE,1,0,0,1,2,"1001",1,"opt-total","05"
"3",1414712400024,"old",FALSE,"B",NA,2359,FALSE,0,1,0,1,3,"0101",1,"opt-total","05"
"4",1414712403134,"old",TRUE,"B",TRUE,3679,TRUE,1,0,1,0,4,"1010",1,"opt-total","05"
"5",1414712407564,"old",FALSE,"B",NA,1843,FALSE,0,1,1,1,5,"0111",1,"opt-total","05"
"6",1414712410158,"new",TRUE,"A",NA,3039,FALSE,0,0,1,0,6,"0010",1,"opt-total","05"
"7",1414712413949,"old",TRUE,"A",TRUE,2674,TRUE,1,1,1,1,7,"1111",1,"opt-total","05"
"8",1414712417374,"old",TRUE,"A",TRUE,2379,TRUE,1,1,1,0,8,"1110",1,"opt-total","05"
"9",1414712420504,"old",TRUE,"B",FALSE,3153,TRUE,0,0,1,1,9,"0011",1,"opt-total","05"
"10",1414712424409,"new",TRUE,"A",NA,2785,FALSE,0,0,0,0,10,"0000",1,"opt-total","05"
"11",1414712427946,"new",TRUE,"A",NA,3333,FALSE,1,0,1,1,11,"1011",1,"opt-total","05"
"12",1414712432030,"old",TRUE,"B",FALSE,3466,TRUE,0,0,0,1,12,"0001",1,"opt-total","05"
"13",1414712436247,"old",TRUE,"B",TRUE,2603,TRUE,0,1,0,0,13,"0100",1,"opt-total","05"
"14",1414712439602,"old",TRUE,"B",TRUE,2034,TRUE,0,1,1,0,14,"0110",1,"opt-total","05"
"15",1414712442388,"old",TRUE,"B",TRUE,2329,TRUE,1,0,0,0,15,"1000",1,"opt-total","05"
"16",1414712445468,"old",FALSE,"A",NA,2055,FALSE,1,1,0,1,16,"1101",1,"opt-total","05"
"17",1414712476458,"old",TRUE,"A",TRUE,5204,TRUE,1,1,1,1,1,"1111",2,"opt-total","05"
"18",1414712482415,"old",TRUE,"A",TRUE,2138,TRUE,0,0,1,1,2,"0011",2,"opt-total","05"
"19",1414712485307,"old",TRUE,"A",TRUE,1460,TRUE,0,0,0,1,3,"0001",2,"opt-total","05"
"20",1414712487520,"old",FALSE,"B",NA,1957,FALSE,0,1,0,1,4,"0101",2,"opt-total","05"
"21",1414712490229,"old",TRUE,"B",TRUE,2155,TRUE,0,1,0,0,5,"0100",2,"opt-total","05"
"22",1414712493135,"old",FALSE,"B",NA,2599,FALSE,0,0,1,0,6,"0010",2,"opt-total","05"
"23",1414712496487,"old",TRUE,"B",TRUE,1911,TRUE,1,0,1,0,7,"1010",2,"opt-total","05"
"24",1414712499152,"old",TRUE,"B",TRUE,1396,TRUE,1,0,0,0,8,"1000",2,"opt-total","05"
"25",1414712501302,"old",TRUE,"A",TRUE,3503,TRUE,1,1,1,0,9,"1110",2,"opt-total","05"
"26",1414712505559,"old",FALSE,"B",NA,3033,FALSE,0,1,1,1,10,"0111",2,"opt-total","05"
"27",1414712509345,"old",FALSE,"A",NA,1209,FALSE,1,1,0,1,11,"1101",2,"opt-total","05"
"28",1414712511307,"old",FALSE,"A",NA,1570,FALSE,0,0,0,0,12,"0000",2,"opt-total","05"
"29",1414712513629,"old",TRUE,"A",FALSE,2629,TRUE,0,1,1,0,13,"0110",2,"opt-total","05"
"30",1414712517011,"old",FALSE,"B",NA,1225,FALSE,1,0,1,1,14,"1011",2,"opt-total","05"
"31",1414712518989,"old",TRUE,"A",TRUE,1485,TRUE,1,1,0,0,15,"1100",2,"opt-total","05"
"32",1414712521226,"old",FALSE,"B",NA,1336,FALSE,1,0,0,1,16,"1001",2,"opt-total","05"
"33",1414712534223,"old",TRUE,"A",TRUE,3495,TRUE,1,1,0,0,1,"1100",3,"opt-total","05"
"34",1414712538469,"old",TRUE,"A",TRUE,1937,TRUE,0,0,1,1,2,"0011",3,"opt-total","05"
"35",1414712541158,"old",TRUE,"A",TRUE,3336,TRUE,1,1,1,1,3,"1111",3,"opt-total","05"
"36",1414712545246,"new",FALSE,"A",TRUE,4112,TRUE,1,1,1,0,4,"1110",3,"opt-total","05"
"37",1414712550110,"old",FALSE,"B",NA,2464,FALSE,1,0,1,1,5,"1011",3,"opt-total","05"
"38",1414712553326,"old",TRUE,"A",TRUE,1824,TRUE,0,0,0,1,6,"0001",3,"opt-total","05"
"39",1414712555901,"new",TRUE,"A",NA,4401,FALSE,0,0,1,0,7,"0010",3,"opt-total","05"
"40",1414712561053,"old",FALSE,"B",NA,2577,FALSE,0,1,1,1,8,"0111",3,"opt-total","05"
"41",1414712564382,"new",FALSE,"B",TRUE,5208,TRUE,0,1,1,0,9,"0110",3,"opt-total","05"
"42",1414712570342,"old",FALSE,"B",NA,2440,FALSE,0,1,0,1,10,"0101",3,"opt-total","05"
"43",1414712573534,"old",TRUE,"B",TRUE,2088,TRUE,0,1,0,0,11,"0100",3,"opt-total","05"
"44",1414712576373,"old",FALSE,"B",NA,2265,FALSE,1,0,0,1,12,"1001",3,"opt-total","05"
"45",1414712579389,"old",TRUE,"B",TRUE,2985,TRUE,1,0,0,0,13,"1000",3,"opt-total","05"
"46",1414712583126,"old",FALSE,"A",NA,3032,FALSE,1,1,0,1,14,"1101",3,"opt-total","05"
"47",1414712586911,"old",FALSE,"A",NA,1926,FALSE,0,0,0,0,15,"0000",3,"opt-total","05"
"48",1414712589590,"new",FALSE,"B",TRUE,2464,TRUE,1,0,1,0,16,"1010",3,"opt-total","05"
"49",1414712959053,"old",TRUE,"B",TRUE,3571,TRUE,0,1,1,0,1,"0110",4,"opt-total","05"
"50",1414712963380,"old",TRUE,"A",FALSE,2940,TRUE,1,0,1,0,2,"1010",4,"opt-total","05"
"51",1414712967077,"old",TRUE,"A",TRUE,1850,TRUE,1,1,0,0,3,"1100",4,"opt-total","05"
"52",1414712969682,"old",TRUE,"B",TRUE,3381,TRUE,1,0,0,0,4,"1000",4,"opt-total","05"
"53",1414712973816,"old",FALSE,"A",NA,2622,FALSE,1,1,0,1,5,"1101",4,"opt-total","05"
"54",1414712977201,"old",FALSE,"B",NA,4317,FALSE,0,1,1,1,6,"0111",4,"opt-total","05"
"55",1414712982272,"old",TRUE,"B",FALSE,2008,TRUE,0,0,1,1,7,"0011",4,"opt-total","05"
"56",1414712985033,"old",FALSE,"A",NA,4341,FALSE,0,1,0,1,8,"0101",4,"opt-total","05"
"57",1414712990134,"old",FALSE,"B",NA,1624,FALSE,1,0,0,1,9,"1001",4,"opt-total","05"
"58",1414712992521,"old",TRUE,"A",TRUE,2709,TRUE,1,1,1,0,10,"1110",4,"opt-total","05"
"59",1414712995984,"old",TRUE,"A",TRUE,1510,TRUE,1,1,1,1,11,"1111",4,"opt-total","05"
"60",1414712998246,"old",FALSE,"B",NA,3723,FALSE,0,0,0,0,12,"0000",4,"opt-total","05"
"61",1414713002725,"old",FALSE,"B",NA,2832,FALSE,0,0,1,0,13,"0010",4,"opt-total","05"
"62",1414713006313,"old",TRUE,"B",FALSE,3074,TRUE,0,0,0,1,14,"0001",4,"opt-total","05"
"63",1414713010150,"old",TRUE,"A",FALSE,2591,TRUE,0,1,0,0,15,"0100",4,"opt-total","05"
"64",1414713013504,"old",FALSE,"B",NA,2906,FALSE,1,0,1,1,16,"1011",4,"opt-total","05"
"65",1414714016582,"old",TRUE,"B",TRUE,6289,TRUE,0,1,1,0,1,"0110",5,"opt-total","05"
"66",1414714023626,"old",TRUE,"B",TRUE,2250,TRUE,0,1,0,0,2,"0100",5,"opt-total","05"
"67",1414714026637,"old",TRUE,"A",TRUE,4664,TRUE,1,1,1,1,3,"1111",5,"opt-total","05"
"68",1414714032066,"old",TRUE,"A",TRUE,2522,TRUE,0,0,1,1,4,"0011",5,"opt-total","05"
"69",1414714035526,"old",FALSE,"B",NA,8059,FALSE,0,0,0,0,5,"0000",5,"opt-total","05"
"70",1414714044344,"old",FALSE,"A",NA,1642,FALSE,0,1,0,1,6,"0101",5,"opt-total","05"
"71",1414714046745,"old",FALSE,"A",NA,3421,FALSE,0,1,1,1,7,"0111",5,"opt-total","05"
"72",1414714050926,"old",TRUE,"A",TRUE,1796,TRUE,1,1,0,0,8,"1100",5,"opt-total","05"
"73",1414714053485,"old",FALSE,"B",NA,1845,FALSE,0,0,1,0,9,"0010",5,"opt-total","05"
"74",1414714056090,"old",TRUE,"A",TRUE,2701,TRUE,1,1,1,0,10,"1110",5,"opt-total","05"
