"","workerId","learn.success","num.learn.trials",".id","round","ip","leftLabel","condition","permutation"
"1","A101WUMP4O5DY7",1,108,"3OVHNO1VE619UHMGRGWVD98H3UXZDN.json","07","69.247.17.92","B","ms","0101"
"2","A10Z7NLSO1VS9P",1,135,"3E7TUJ2EGCMUOQ43NI2W0L6OOSBD9Q.json","07","97.96.238.204","A","ms","1001"
"3","A11ED29FYJKV2E",1,135,"3RSDURM96AMEHXQBRP5W5KH0XDVYER.json","07","73.52.138.66","A","ms","1111"
"4","A11U6P6DNSWC6R",0,144,"3GA6AFUKOOOPL4KPS5KC0TI0GPQ3HY.json","07","71.95.70.113","B","opt-total","1100"
"5","A12GVRSR9VNATY",1,81,"38YMOXR4MUZ6FD2W664A8Z4755F6WJ.json","07","2602:306:cd8a:4a40:c00:cf99:f88a:6f6f","B","ms","0011"
"6","A169LNZMT64BGG",1,63,"3D4CH1LGEATX0AEUP834669L1JNG9X.json","07","108.231.94.61","B","ms","0001"
"7","A19CA1G04F23NN",0,144,"3TYCR1GOTCJSSTA84XUJWMGMC2ALZY.json","07","71.49.82.198","A","ms","0001"
"8","A19TXY29TBNDJ2",0,144,"37Q970SNZE8I1AKQGVISGEA5RIQ1SQ.json","07","66.115.58.210","B","ms","0111"
"9","A1BHVRE037LMAY",0,144,"3N1FSUEFL50TRKYR6N65JDV82ZP4DB.json","07","71.189.6.166","A","ms","0011"
"10","A1DDPSGI2AH4EO",1,72,"39GXDJN2OTEG42LF9BWC6BHK4SR8VN.json","07","24.61.128.48","A","ms","0011"
"11","A1E61ECTVM0HOO",0,144,"39PAAFCODM0Z2MD3C977X7D7I4PVTA.json","07","173.174.251.7","B","ms","0011"
"12","A1FR532O8LE1W",0,144,"39O5D9O87TSY4W996D6BP2LK3YX3C3.json","07","69.23.224.243","A","ms","1001"
"13","A1GTYHV8OYQQLV",0,144,"39GHHAVOMFR6U6YJGJSGMBQL7HN4JM.json","07","98.21.243.101","A","opt-total","0010"
"14","A1HERDHL8JY0CZ",0,144,"3E47SOBEYQWDUZRSRGDYT8N9MHJCI3.json","07","66.126.45.71","B","ms","0011"
"15","A1I7NW0062RB0X",1,99,"339ANSOTR52VDX3GJTUWHR0HRP0KIU.json","07","73.5.167.102","A","ms","1011"
"16","A1NAKFX8ENJCV2",0,144,"3ZY8KE4ISJ3MA6LBV5DCS22KYY8QVB.json","07","68.45.235.170","A","ms","0111"
"17","A1NQZSUQPL4K17",1,27,"3AWETUDC92SQ2S22JUX646OUVZ3ZIN.json","07","49.204.205.100","A","ms","0101"
"18","A1O81SOPKHK5RZ",1,90,"3RRCEFRB7MC0CN07SRFZON78ZCDB47.json","07","74.176.241.39","A","ms","0011"
"19","A1O91H967017FL",1,72,"3DPNQGW4LLFU6BJCW0YRD7LGLD564O.json","07","72.12.205.126","A","opt-total","1110"
"20","A1OL25WY0BYMMH",1,72,"3RXPCZQMQPBFB5BZLVOBR0R23691GH.json","07","74.62.120.82","B","opt-total","0100"
"21","A1PUIGT83JOHH6",0,144,"3JPSL1DZ5SZHFL5L4IUZSLT28C0ANL.json","07","71.204.156.216","B","opt-total","0010"
"22","A1R08EZI5C4YS2",1,63,"3KRVW3HTZNLFXZ6F9H1Q06Y8PTPSMT.json","07","99.174.192.186","A","ms","0111"
"23","A1S278YWEAUT52",1,63,"3R6P78PK7KBGKPN8NE8LX6AXVOQTG6.json","07","24.164.64.5","B","ms","0111"
